2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[59]	valid_0's rmse: 0.0942325	valid_0's l2: 0.00887977
[60]	valid_0's rmse: 0.0936417	valid_0's l2: 0.00876877
[61]	valid_0's rmse: 0.0930337	valid_0's l2: 0.00865526
[62]	valid_0's rmse: 0.0924468	valid_0's l2: 0.00854641
[63]	valid_0's rmse: 0.0918557	valid_0's l2: 0.00843746
[64]	valid_0's rmse: 0.091261	valid_0's l2: 0.00832856
[65]	valid_0's rmse: 0.0906716	valid_0's l2: 0.00822134
[66]	valid_0's rmse: 0.0900861	valid_0's l2: 0.00811551
[67]	valid_0's rmse: 0.0895044	valid_0's l2: 0.00801104
[68]	valid_0's rmse: 0.0889275	valid_0's l2: 0.0079081
[69]	valid_0's rmse: 0.0883547	valid_0's l2: 0.00780656
[70]	valid_0's rmse: 0.087787	valid_0's l2: 0.00770656
[71]	valid_0's rmse: 0.087231	valid_0's l2: 0.00760925
[72]	valid_0's rmse: 0.0866711	valid_0's l2: 0.00751188
[73]	valid_0's rmse: 0.0861155	valid_0's l2: 0.00741588
[74]	valid_0's rmse: 0.0855639	valid_0's l2: 0.00732118
[75]	valid_0's rmse: 0.0850165	valid_0's l2: 0.00722781
[76]	valid_0's rmse: 0.0844884	valid_0's l2: 0.00713829
[77]	valid_0's rmse: 0.0839499	valid_0's l2: 0.00704759
[78]	valid_0's rmse: 0.0834147	valid_0's l2: 0.006958
[79]	valid_0's rmse: 0.0828836	valid_0's l2: 0.00686969
[80]	valid_0's rmse: 0.082357	valid_0's l2: 0.00678267
[81]	valid_0's rmse: 0.0818343	valid_0's l2: 0.00669685
[82]	valid_0's rmse: 0.0813153	valid_0's l2: 0.00661218
[83]	valid_0's rmse: 0.0808137	valid_0's l2: 0.00653086
[84]	valid_0's rmse: 0.0803085	valid_0's l2: 0.00644946
[85]	valid_0's rmse: 0.0798007	valid_0's l2: 0.00636816
[86]	valid_0's rmse: 0.0792973	valid_0's l2: 0.00628806
[87]	valid_0's rmse: 0.0787977	valid_0's l2: 0.00620908
[88]	valid_0's rmse: 0.0783017	valid_0's l2: 0.00613116
[89]	valid_0's rmse: 0.0778092	valid_0's l2: 0.00605427
[90]	valid_0's rmse: 0.0773276	valid_0's l2: 0.00597956
[91]	valid_0's rmse: 0.076843	valid_0's l2: 0.00590485
[92]	valid_0's rmse: 0.0763623	valid_0's l2: 0.0058312
[93]	valid_0's rmse: 0.0758991	valid_0's l2: 0.00576068
[94]	valid_0's rmse: 0.0754257	valid_0's l2: 0.00568904
[95]	valid_0's rmse: 0.0749561	valid_0's l2: 0.00561842
[96]	valid_0's rmse: 0.0744898	valid_0's l2: 0.00554874
[97]	valid_0's rmse: 0.074027	valid_0's l2: 0.00548
[98]	valid_0's rmse: 0.0735681	valid_0's l2: 0.00541226
[99]	valid_0's rmse: 0.0731121	valid_0's l2: 0.00534538
[100]	valid_0's rmse: 0.0726598	valid_0's l2: 0.00527944
[101]	valid_0's rmse: 0.0722115	valid_0's l2: 0.0052145
[102]	valid_0's rmse: 0.0717728	valid_0's l2: 0.00515133
[103]	valid_0's rmse: 0.0713316	valid_0's l2: 0.0050882
[104]	valid_0's rmse: 0.0708939	valid_0's l2: 0.00502595
[105]	valid_0's rmse: 0.0704591	valid_0's l2: 0.00496449
[106]	valid_0's rmse: 0.0700323	valid_0's l2: 0.00490453
[107]	valid_0's rmse: 0.06961	valid_0's l2: 0.00484555
[108]	valid_0's rmse: 0.0691854	valid_0's l2: 0.00478662
[109]	valid_0's rmse: 0.0687646	valid_0's l2: 0.00472857
[110]	valid_0's rmse: 0.0683468	valid_0's l2: 0.00467128
[111]	valid_0's rmse: 0.0679326	valid_0's l2: 0.00461484
[112]	valid_0's rmse: 0.067521	valid_0's l2: 0.00455908
[113]	valid_0's rmse: 0.0671122	valid_0's l2: 0.00450405
[114]	valid_0's rmse: 0.0667072	valid_0's l2: 0.00444984
[115]	valid_0's rmse: 0.0663052	valid_0's l2: 0.00439639
[116]	valid_0's rmse: 0.0659065	valid_0's l2: 0.00434367
[117]	valid_0's rmse: 0.0655108	valid_0's l2: 0.00429166
[118]	valid_0's rmse: 0.0651184	valid_0's l2: 0.00424041
[119]	valid_0's rmse: 0.0647291	valid_0's l2: 0.00418985
[120]	valid_0's rmse: 0.0643433	valid_0's l2: 0.00414006
[121]	valid_0's rmse: 0.0639597	valid_0's l2: 0.00409084
[122]	valid_0's rmse: 0.0635801	valid_0's l2: 0.00404243
[123]	valid_0's rmse: 0.0632029	valid_0's l2: 0.00399461
[124]	valid_0's rmse: 0.0628282	valid_0's l2: 0.00394738
[125]	valid_0's rmse: 0.062457	valid_0's l2: 0.00390088
[126]	valid_0's rmse: 0.0620941	valid_0's l2: 0.00385567
[127]	valid_0's rmse: 0.0617291	valid_0's l2: 0.00381048
[128]	valid_0's rmse: 0.0613674	valid_0's l2: 0.00376596
[129]	valid_0's rmse: 0.0610082	valid_0's l2: 0.003722
[130]	valid_0's rmse: 0.0606523	valid_0's l2: 0.0036787
[131]	valid_0's rmse: 0.0602986	valid_0's l2: 0.00363592
[132]	valid_0's rmse: 0.0599471	valid_0's l2: 0.00359365
[133]	valid_0's rmse: 0.0595991	valid_0's l2: 0.00355206
[134]	valid_0's rmse: 0.0592543	valid_0's l2: 0.00351108
[135]	valid_0's rmse: 0.0589123	valid_0's l2: 0.00347066
[136]	valid_0's rmse: 0.0585726	valid_0's l2: 0.00343075
[137]	valid_0's rmse: 0.0582357	valid_0's l2: 0.0033914
[138]	valid_0's rmse: 0.0579029	valid_0's l2: 0.00335275
[139]	valid_0's rmse: 0.0575717	valid_0's l2: 0.0033145
[140]	valid_0's rmse: 0.0572432	valid_0's l2: 0.00327678
[141]	valid_0's rmse: 0.0569218	valid_0's l2: 0.00324009
[142]	valid_0's rmse: 0.0565987	valid_0's l2: 0.00320341
[143]	valid_0's rmse: 0.0562817	valid_0's l2: 0.00316763
[144]	valid_0's rmse: 0.0559683	valid_0's l2: 0.00313245
[145]	valid_0's rmse: 0.0556536	valid_0's l2: 0.00309732
[146]	valid_0's rmse: 0.0553406	valid_0's l2: 0.00306258
[147]	valid_0's rmse: 0.0550309	valid_0's l2: 0.0030284
[148]	valid_0's rmse: 0.0547233	valid_0's l2: 0.00299464
[149]	valid_0's rmse: 0.0544178	valid_0's l2: 0.0029613
[150]	valid_0's rmse: 0.0541148	valid_0's l2: 0.00292841
[151]	valid_0's rmse: 0.0538152	valid_0's l2: 0.00289608
[152]	valid_0's rmse: 0.0535212	valid_0's l2: 0.00286452
[153]	valid_0's rmse: 0.0532266	valid_0's l2: 0.00283308
[154]	valid_0's rmse: 0.0529341	valid_0's l2: 0.00280201
[155]	valid_0's rmse: 0.0526452	valid_0's l2: 0.00277152
[156]	valid_0's rmse: 0.0523615	valid_0's l2: 0.00274173
[157]	valid_0's rmse: 0.0520763	valid_0's l2: 0.00271194
[158]	valid_0's rmse: 0.0517937	valid_0's l2: 0.00268258
[159]	valid_0's rmse: 0.0515139	valid_0's l2: 0.00265368
[160]	valid_0's rmse: 0.051236	valid_0's l2: 0.00262513
[161]	valid_0's rmse: 0.0509605	valid_0's l2: 0.00259697
[162]	valid_0's rmse: 0.0506866	valid_0's l2: 0.00256913
[163]	valid_0's rmse: 0.050415	valid_0's l2: 0.00254168
[164]	valid_0's rmse: 0.0501467	valid_0's l2: 0.0025147
[165]	valid_0's rmse: 0.0498839	valid_0's l2: 0.0024884
[166]	valid_0's rmse: 0.0496221	valid_0's l2: 0.00246236
[167]	valid_0's rmse: 0.0493614	valid_0's l2: 0.00243654
[168]	valid_0's rmse: 0.0491028	valid_0's l2: 0.00241108
[169]	valid_0's rmse: 0.0488454	valid_0's l2: 0.00238587
[170]	valid_0's rmse: 0.0485901	valid_0's l2: 0.002361
[171]	valid_0's rmse: 0.0483368	valid_0's l2: 0.00233644
[172]	valid_0's rmse: 0.048086	valid_0's l2: 0.00231226
[173]	valid_0's rmse: 0.0478372	valid_0's l2: 0.0022884
[174]	valid_0's rmse: 0.0475911	valid_0's l2: 0.00226492
[175]	valid_0's rmse: 0.0473504	valid_0's l2: 0.00224206
[176]	valid_0's rmse: 0.0471082	valid_0's l2: 0.00221919
[177]	valid_0's rmse: 0.0468681	valid_0's l2: 0.00219662
[178]	valid_0's rmse: 0.0466305	valid_0's l2: 0.00217441
[179]	valid_0's rmse: 0.0463985	valid_0's l2: 0.00215282
[180]	valid_0's rmse: 0.0461705	valid_0's l2: 0.00213171
[181]	valid_0's rmse: 0.0459399	valid_0's l2: 0.00211048
[182]	valid_0's rmse: 0.0457131	valid_0's l2: 0.00208969
[183]	valid_0's rmse: 0.0454858	valid_0's l2: 0.00206896
[184]	valid_0's rmse: 0.0452605	valid_0's l2: 0.00204851
[185]	valid_0's rmse: 0.0450366	valid_0's l2: 0.0020283
[186]	valid_0's rmse: 0.0448156	valid_0's l2: 0.00200844
[187]	valid_0's rmse: 0.0445987	valid_0's l2: 0.00198904
[188]	valid_0's rmse: 0.0443809	valid_0's l2: 0.00196967
[189]	valid_0's rmse: 0.0441686	valid_0's l2: 0.00195086
[190]	valid_0's rmse: 0.0439547	valid_0's l2: 0.00193201
[191]	valid_0's rmse: 0.0437431	valid_0's l2: 0.00191346
[192]	valid_0's rmse: 0.0435327	valid_0's l2: 0.00189509
[193]	valid_0's rmse: 0.0433248	valid_0's l2: 0.00187704
[194]	valid_0's rmse: 0.0431185	valid_0's l2: 0.00185921
[195]	valid_0's rmse: 0.0429145	valid_0's l2: 0.00184166
[196]	valid_0's rmse: 0.0427121	valid_0's l2: 0.00182432
[197]	valid_0's rmse: 0.0425117	valid_0's l2: 0.00180725
[198]	valid_0's rmse: 0.042313	valid_0's l2: 0.00179039
[199]	valid_0's rmse: 0.0421164	valid_0's l2: 0.00177379
[200]	valid_0's rmse: 0.0419235	valid_0's l2: 0.00175758
[201]	valid_0's rmse: 0.0417301	valid_0's l2: 0.0017414
[202]	valid_0's rmse: 0.0415389	valid_0's l2: 0.00172548
[203]	valid_0's rmse: 0.041349	valid_0's l2: 0.00170974
[204]	valid_0's rmse: 0.0411634	valid_0's l2: 0.00169442
[205]	valid_0's rmse: 0.0409766	valid_0's l2: 0.00167909
[206]	valid_0's rmse: 0.0407922	valid_0's l2: 0.001664
[207]	valid_0's rmse: 0.0406097	valid_0's l2: 0.00164914
[208]	valid_0's rmse: 0.0404291	valid_0's l2: 0.00163451
[209]	valid_0's rmse: 0.0402494	valid_0's l2: 0.00162001
[210]	valid_0's rmse: 0.040077	valid_0's l2: 0.00160616
[211]	valid_0's rmse: 0.0399009	valid_0's l2: 0.00159208
[212]	valid_0's rmse: 0.0397265	valid_0's l2: 0.0015782
[213]	valid_0's rmse: 0.0395564	valid_0's l2: 0.00156471
[214]	valid_0's rmse: 0.0393853	valid_0's l2: 0.0015512
[215]	valid_0's rmse: 0.0392209	valid_0's l2: 0.00153828
[216]	valid_0's rmse: 0.0390582	valid_0's l2: 0.00152555
[217]	valid_0's rmse: 0.038892	valid_0's l2: 0.00151258
[218]	valid_0's rmse: 0.0387265	valid_0's l2: 0.00149974
[219]	valid_0's rmse: 0.0385632	valid_0's l2: 0.00148712
[220]	valid_0's rmse: 0.0384019	valid_0's l2: 0.0014747
[221]	valid_0's rmse: 0.0382417	valid_0's l2: 0.00146243
[222]	valid_0's rmse: 0.0380839	valid_0's l2: 0.00145038
[223]	valid_0's rmse: 0.037927	valid_0's l2: 0.00143846
[224]	valid_0's rmse: 0.037772	valid_0's l2: 0.00142672
[225]	valid_0's rmse: 0.0376177	valid_0's l2: 0.00141509
[226]	valid_0's rmse: 0.0374657	valid_0's l2: 0.00140368
[227]	valid_0's rmse: 0.0373156	valid_0's l2: 0.00139245
[228]	valid_0's rmse: 0.0371666	valid_0's l2: 0.00138136
[229]	valid_0's rmse: 0.0370183	valid_0's l2: 0.00137035
[230]	valid_0's rmse: 0.0368714	valid_0's l2: 0.0013595
[231]	valid_0's rmse: 0.0367261	valid_0's l2: 0.00134881
[232]	valid_0's rmse: 0.0365854	valid_0's l2: 0.00133849
[233]	valid_0's rmse: 0.0364434	valid_0's l2: 0.00132812
[234]	valid_0's rmse: 0.0363048	valid_0's l2: 0.00131804
[235]	valid_0's rmse: 0.0361654	valid_0's l2: 0.00130794
[236]	valid_0's rmse: 0.0360272	valid_0's l2: 0.00129796
[237]	valid_0's rmse: 0.0358907	valid_0's l2: 0.00128814
[238]	valid_0's rmse: 0.0357559	valid_0's l2: 0.00127848
[239]	valid_0's rmse: 0.035622	valid_0's l2: 0.00126893
[240]	valid_0's rmse: 0.0354896	valid_0's l2: 0.00125951
[241]	valid_0's rmse: 0.0353598	valid_0's l2: 0.00125032
[242]	valid_0's rmse: 0.0352306	valid_0's l2: 0.00124119
[243]	valid_0's rmse: 0.0351018	valid_0's l2: 0.00123214
[244]	valid_0's rmse: 0.0349767	valid_0's l2: 0.00122337
[245]	valid_0's rmse: 0.0348513	valid_0's l2: 0.00121461
[246]	valid_0's rmse: 0.0347286	valid_0's l2: 0.00120608
[247]	valid_0's rmse: 0.034607	valid_0's l2: 0.00119764
[248]	valid_0's rmse: 0.034485	valid_0's l2: 0.00118922
[249]	valid_0's rmse: 0.0343641	valid_0's l2: 0.00118089
[250]	valid_0's rmse: 0.0342449	valid_0's l2: 0.00117271
[251]	valid_0's rmse: 0.0341261	valid_0's l2: 0.00116459
[252]	valid_0's rmse: 0.0340087	valid_0's l2: 0.00115659
[253]	valid_0's rmse: 0.0338933	valid_0's l2: 0.00114876
[254]	valid_0's rmse: 0.0337784	valid_0's l2: 0.00114098
[255]	valid_0's rmse: 0.0336652	valid_0's l2: 0.00113335
[256]	valid_0's rmse: 0.0335533	valid_0's l2: 0.00112582
[257]	valid_0's rmse: 0.0334422	valid_0's l2: 0.00111838
[258]	valid_0's rmse: 0.0333322	valid_0's l2: 0.00111104
[259]	valid_0's rmse: 0.0332237	valid_0's l2: 0.00110381
[260]	valid_0's rmse: 0.0331156	valid_0's l2: 0.00109664
[261]	valid_0's rmse: 0.0330091	valid_0's l2: 0.0010896
[262]	valid_0's rmse: 0.0329034	valid_0's l2: 0.00108263
[263]	valid_0's rmse: 0.0327985	valid_0's l2: 0.00107574
[264]	valid_0's rmse: 0.0326969	valid_0's l2: 0.00106909
[265]	valid_0's rmse: 0.0325961	valid_0's l2: 0.0010625
[266]	valid_0's rmse: 0.0324954	valid_0's l2: 0.00105595
[267]	valid_0's rmse: 0.0323955	valid_0's l2: 0.00104947
[268]	valid_0's rmse: 0.0322967	valid_0's l2: 0.00104308
[269]	valid_0's rmse: 0.032199	valid_0's l2: 0.00103678
[270]	valid_0's rmse: 0.0321021	valid_0's l2: 0.00103055
[271]	valid_0's rmse: 0.0320062	valid_0's l2: 0.0010244
[272]	valid_0's rmse: 0.0319113	valid_0's l2: 0.00101833
[273]	valid_0's rmse: 0.0318177	valid_0's l2: 0.00101237
[274]	valid_0's rmse: 0.0317257	valid_0's l2: 0.00100652
[275]	valid_0's rmse: 0.0316343	valid_0's l2: 0.00100073
[276]	valid_0's rmse: 0.0315438	valid_0's l2: 0.000995011
[277]	valid_0's rmse: 0.0314559	valid_0's l2: 0.000989471
[278]	valid_0's rmse: 0.0313672	valid_0's l2: 0.000983901
[279]	valid_0's rmse: 0.0312792	valid_0's l2: 0.000978388
[280]	valid_0's rmse: 0.0311927	valid_0's l2: 0.000972982
[281]	valid_0's rmse: 0.0311067	valid_0's l2: 0.00096763
[282]	valid_0's rmse: 0.0310232	valid_0's l2: 0.000962436
[283]	valid_0's rmse: 0.0309407	valid_0's l2: 0.000957325
[284]	valid_0's rmse: 0.0308589	valid_0's l2: 0.000952272
[285]	valid_0's rmse: 0.0307765	valid_0's l2: 0.000947192
[286]	valid_0's rmse: 0.0306975	valid_0's l2: 0.000942335
[287]	valid_0's rmse: 0.030617	valid_0's l2: 0.000937403
[288]	valid_0's rmse: 0.0305375	valid_0's l2: 0.000932538
[289]	valid_0's rmse: 0.030459	valid_0's l2: 0.000927751
[290]	valid_0's rmse: 0.0303834	valid_0's l2: 0.000923153
[291]	valid_0's rmse: 0.0303063	valid_0's l2: 0.000918474
[292]	valid_0's rmse: 0.0302318	valid_0's l2: 0.000913959
[293]	valid_0's rmse: 0.0301568	valid_0's l2: 0.00090943
[294]	valid_0's rmse: 0.0300827	valid_0's l2: 0.000904967
[295]	valid_0's rmse: 0.0300088	valid_0's l2: 0.000900528
