2019-06-17 14:20:52,633 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 14:28:12,776 INFO - __main__ - Completed generating dataset.
2019-06-17 14:28:12,777 INFO - __main__ - Dataset info: {'X_train_np.shape': (621, 1329, 672, 3), 'y_train_np.shape': (621, 1329, 5), 'X_val_np.shape': (207, 1329, 672, 3), 'y_val_np.shape': (207, 1329, 5), 'X_test_np.shape': (208, 1329, 672, 3), 'y_test_np.shape': (208, 1329, 5)}
2019-06-17 14:28:13,060 WARNING - tensorflow - From /home/ubuntu/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/ops/resource_variable_ops.py:435: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
2019-06-17 14:28:13,216 WARNING - tensorflow - From /home/ubuntu/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/keras/layers/core.py:143: calling dropout (from tensorflow.python.ops.nn_ops) with keep_prob is deprecated and will be removed in a future version.
Instructions for updating:
Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`.
2019-06-17 14:28:17,391 WARNING - tensorflow - From /home/ubuntu/anaconda3/envs/tensorflow_p36/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
2019-06-17 14:28:24,920 INFO - models.tcn - Model summary:
2019-06-17 14:28:24,921 INFO - models.tcn - ---------
2019-06-17 14:28:24,921 INFO - models.tcn - Variables: name (type shape) [size]
2019-06-17 14:28:24,921 INFO - models.tcn - ---------
2019-06-17 14:28:24,923 INFO - models.tcn - batch_normalization_v1_2/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,923 INFO - models.tcn - batch_normalization_v1_2/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,923 INFO - models.tcn - conv1d_5/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,923 INFO - models.tcn - conv1d_5/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,923 INFO - models.tcn - batch_normalization_v1_3/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,923 INFO - models.tcn - batch_normalization_v1_3/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,923 INFO - models.tcn - conv1d_6/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,923 INFO - models.tcn - conv1d_6/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,924 INFO - models.tcn - conv1d_7/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,924 INFO - models.tcn - conv1d_7/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,924 INFO - models.tcn - batch_normalization_v1_4/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,924 INFO - models.tcn - batch_normalization_v1_4/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,924 INFO - models.tcn - conv1d_8/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,924 INFO - models.tcn - conv1d_8/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,924 INFO - models.tcn - batch_normalization_v1_5/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,924 INFO - models.tcn - batch_normalization_v1_5/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,925 INFO - models.tcn - conv1d_9/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,925 INFO - models.tcn - conv1d_9/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,925 INFO - models.tcn - conv1d_10/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,925 INFO - models.tcn - conv1d_10/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,925 INFO - models.tcn - batch_normalization_v1_6/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,925 INFO - models.tcn - batch_normalization_v1_6/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,925 INFO - models.tcn - conv1d_11/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,925 INFO - models.tcn - conv1d_11/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,925 INFO - models.tcn - batch_normalization_v1_7/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,926 INFO - models.tcn - batch_normalization_v1_7/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,926 INFO - models.tcn - conv1d_12/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,926 INFO - models.tcn - conv1d_12/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,926 INFO - models.tcn - conv1d_13/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,926 INFO - models.tcn - conv1d_13/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,926 INFO - models.tcn - batch_normalization_v1_8/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,926 INFO - models.tcn - batch_normalization_v1_8/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,926 INFO - models.tcn - conv1d_14/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,926 INFO - models.tcn - conv1d_14/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - batch_normalization_v1_9/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - batch_normalization_v1_9/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - conv1d_15/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,927 INFO - models.tcn - conv1d_15/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - conv1d_16/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,927 INFO - models.tcn - conv1d_16/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - batch_normalization_v1_10/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - batch_normalization_v1_10/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,927 INFO - models.tcn - conv1d_17/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,927 INFO - models.tcn - conv1d_17/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,928 INFO - models.tcn - batch_normalization_v1_11/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,928 INFO - models.tcn - batch_normalization_v1_11/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,928 INFO - models.tcn - conv1d_18/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,928 INFO - models.tcn - conv1d_18/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,928 INFO - models.tcn - conv1d_19/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,928 INFO - models.tcn - conv1d_19/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,928 INFO - models.tcn - batch_normalization_v1_12/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,928 INFO - models.tcn - batch_normalization_v1_12/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,929 INFO - models.tcn - conv1d_20/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,929 INFO - models.tcn - conv1d_20/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,929 INFO - models.tcn - batch_normalization_v1_13/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,929 INFO - models.tcn - batch_normalization_v1_13/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,929 INFO - models.tcn - conv1d_21/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,929 INFO - models.tcn - conv1d_21/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,929 INFO - models.tcn - conv1d_22/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,929 INFO - models.tcn - conv1d_22/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,929 INFO - models.tcn - batch_normalization_v1_14/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,930 INFO - models.tcn - batch_normalization_v1_14/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,930 INFO - models.tcn - conv1d_23/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,930 INFO - models.tcn - conv1d_23/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,930 INFO - models.tcn - batch_normalization_v1_15/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,930 INFO - models.tcn - batch_normalization_v1_15/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,930 INFO - models.tcn - conv1d_24/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,930 INFO - models.tcn - conv1d_24/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,930 INFO - models.tcn - conv1d_25/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,931 INFO - models.tcn - conv1d_25/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,931 INFO - models.tcn - batch_normalization_v1_16/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,931 INFO - models.tcn - batch_normalization_v1_16/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,931 INFO - models.tcn - conv1d_26/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,931 INFO - models.tcn - conv1d_26/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,931 INFO - models.tcn - batch_normalization_v1_17/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,931 INFO - models.tcn - batch_normalization_v1_17/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,931 INFO - models.tcn - conv1d_27/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,931 INFO - models.tcn - conv1d_27/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,932 INFO - models.tcn - conv1d_28/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,932 INFO - models.tcn - conv1d_28/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,932 INFO - models.tcn - batch_normalization_v1_18/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,932 INFO - models.tcn - batch_normalization_v1_18/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,932 INFO - models.tcn - conv1d_29/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,932 INFO - models.tcn - conv1d_29/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,932 INFO - models.tcn - batch_normalization_v1_19/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,932 INFO - models.tcn - batch_normalization_v1_19/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,933 INFO - models.tcn - conv1d_30/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,933 INFO - models.tcn - conv1d_30/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,933 INFO - models.tcn - conv1d_31/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,933 INFO - models.tcn - conv1d_31/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,933 INFO - models.tcn - batch_normalization_v1_20/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,933 INFO - models.tcn - batch_normalization_v1_20/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,933 INFO - models.tcn - conv1d_32/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,933 INFO - models.tcn - conv1d_32/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,933 INFO - models.tcn - batch_normalization_v1_21/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,934 INFO - models.tcn - batch_normalization_v1_21/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,934 INFO - models.tcn - conv1d_33/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,934 INFO - models.tcn - conv1d_33/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,934 INFO - models.tcn - conv1d_34/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,934 INFO - models.tcn - conv1d_34/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,934 INFO - models.tcn - batch_normalization_v1_22/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,934 INFO - models.tcn - batch_normalization_v1_22/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,934 INFO - models.tcn - conv1d_35/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,934 INFO - models.tcn - conv1d_35/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,935 INFO - models.tcn - batch_normalization_v1_23/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,935 INFO - models.tcn - batch_normalization_v1_23/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,935 INFO - models.tcn - conv1d_36/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,935 INFO - models.tcn - conv1d_36/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,935 INFO - models.tcn - conv1d_37/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,935 INFO - models.tcn - conv1d_37/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,935 INFO - models.tcn - batch_normalization_v1_24/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,935 INFO - models.tcn - batch_normalization_v1_24/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,936 INFO - models.tcn - conv1d_38/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,936 INFO - models.tcn - conv1d_38/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,936 INFO - models.tcn - batch_normalization_v1_25/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,936 INFO - models.tcn - batch_normalization_v1_25/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,936 INFO - models.tcn - conv1d_39/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,936 INFO - models.tcn - conv1d_39/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,936 INFO - models.tcn - conv1d_40/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,936 INFO - models.tcn - conv1d_40/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,936 INFO - models.tcn - batch_normalization_v1_26/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,937 INFO - models.tcn - batch_normalization_v1_26/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,937 INFO - models.tcn - conv1d_41/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,937 INFO - models.tcn - conv1d_41/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,937 INFO - models.tcn - batch_normalization_v1_27/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,937 INFO - models.tcn - batch_normalization_v1_27/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,937 INFO - models.tcn - conv1d_42/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,937 INFO - models.tcn - conv1d_42/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,937 INFO - models.tcn - conv1d_43/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,938 INFO - models.tcn - conv1d_43/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,938 INFO - models.tcn - batch_normalization_v1_28/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,938 INFO - models.tcn - batch_normalization_v1_28/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,938 INFO - models.tcn - conv1d_44/kernel:0 (float32 5x16x16) [1280, bytes: 5120]
2019-06-17 14:28:24,938 INFO - models.tcn - conv1d_44/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,938 INFO - models.tcn - batch_normalization_v1_29/gamma:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,938 INFO - models.tcn - batch_normalization_v1_29/beta:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,938 INFO - models.tcn - conv1d_45/kernel:0 (float32 1x16x16) [256, bytes: 1024]
2019-06-17 14:28:24,938 INFO - models.tcn - conv1d_45/bias:0 (float32 16) [16, bytes: 64]
2019-06-17 14:28:24,939 INFO - models.tcn - dense/kernel:0 (float32 16x5) [80, bytes: 320]
2019-06-17 14:28:24,939 INFO - models.tcn - dense/bias:0 (float32 5) [5, bytes: 20]
2019-06-17 14:28:24,939 INFO - models.tcn - Total size of variables: 44069
2019-06-17 14:28:24,939 INFO - models.tcn - Total bytes of variables: 176276
2019-06-17 14:28:26,780 INFO - trainers.nn_trainer - Start training for 40 epochs
2019-06-17 14:29:28,907 INFO - trainers.nn_trainer - [train] [Epoch: 0] rmse: 1.5649234289
2019-06-17 14:29:48,643 INFO - trainers.nn_trainer - [val] [Epoch: 0] rmse: 1.5792218919
2019-06-17 14:30:08,911 INFO - trainers.nn_trainer - [test] [Epoch: 0] rmse: 1.5808087936
2019-06-17 14:30:16,088 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 1] [Learning rate: 2.9403E-03] rmse: 4.9921355387
2019-06-17 14:30:16,391 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 2] [Learning rate: 2.9403E-03] rmse: 3.3757926575
2019-06-17 14:30:16,695 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 3] [Learning rate: 2.9403E-03] rmse: 2.8616584040
2019-06-17 14:30:16,998 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 4] [Learning rate: 2.9403E-03] rmse: 2.3536579516
2019-06-17 14:30:17,302 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 5] [Learning rate: 2.9403E-03] rmse: 2.1491740126
2019-06-17 14:30:17,605 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 6] [Learning rate: 2.9403E-03] rmse: 2.0679113895
2019-06-17 14:30:17,909 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 7] [Learning rate: 2.9403E-03] rmse: 1.9972556478
2019-06-17 14:30:18,212 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 8] [Learning rate: 2.9403E-03] rmse: 1.9006869329
2019-06-17 14:30:18,515 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 9] [Learning rate: 2.9403E-03] rmse: 1.7611899248
2019-06-17 14:30:18,819 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 10] [Learning rate: 2.9403E-03] rmse: 1.6106611871
2019-06-17 14:30:19,122 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 11] [Learning rate: 2.9403E-03] rmse: 1.5206551992
2019-06-17 14:30:19,426 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 12] [Learning rate: 2.9403E-03] rmse: 1.4538484639
2019-06-17 14:30:19,729 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 13] [Learning rate: 2.9403E-03] rmse: 1.4192810712
2019-06-17 14:30:20,033 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 14] [Learning rate: 2.9403E-03] rmse: 1.5221047857
2019-06-17 14:30:20,336 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 15] [Learning rate: 2.9403E-03] rmse: 1.3125945920
2019-06-17 14:30:20,640 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 16] [Learning rate: 2.9403E-03] rmse: 1.3429988270
2019-06-17 14:30:20,943 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 17] [Learning rate: 2.9403E-03] rmse: 1.2589715392
2019-06-17 14:30:21,247 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 18] [Learning rate: 2.9403E-03] rmse: 1.2551578443
2019-06-17 14:30:21,550 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 19] [Learning rate: 2.9403E-03] rmse: 1.2513465781
2019-06-17 14:30:21,853 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 20] [Learning rate: 2.9403E-03] rmse: 1.2066059536
2019-06-17 14:30:22,157 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 21] [Learning rate: 2.9403E-03] rmse: 1.1566644905
2019-06-17 14:30:22,460 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 22] [Learning rate: 2.9403E-03] rmse: 1.1103360486
2019-06-17 14:30:22,763 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 23] [Learning rate: 2.9403E-03] rmse: 1.0276822885
2019-06-17 14:30:23,067 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 24] [Learning rate: 2.9403E-03] rmse: 0.9903146685
2019-06-17 14:30:23,371 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 25] [Learning rate: 2.9403E-03] rmse: 0.9907323123
2019-06-17 14:30:23,675 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 26] [Learning rate: 2.9403E-03] rmse: 0.9893929784
2019-06-17 14:30:23,979 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 27] [Learning rate: 2.9403E-03] rmse: 0.9038552180
2019-06-17 14:30:24,282 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 28] [Learning rate: 2.9403E-03] rmse: 0.9436398360
2019-06-17 14:30:24,586 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 29] [Learning rate: 2.9403E-03] rmse: 0.9643362463
2019-06-17 14:30:24,889 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 30] [Learning rate: 2.9403E-03] rmse: 0.8887673798
2019-06-17 14:30:25,192 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 31] [Learning rate: 2.9403E-03] rmse: 0.8383460952
2019-06-17 14:30:25,496 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 32] [Learning rate: 2.9403E-03] rmse: 0.9062001445
2019-06-17 14:30:25,799 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 33] [Learning rate: 2.9403E-03] rmse: 0.7970795836
2019-06-17 14:30:26,103 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 34] [Learning rate: 2.9403E-03] rmse: 0.8460183911
2019-06-17 14:30:26,406 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 35] [Learning rate: 2.9403E-03] rmse: 0.8345882543
2019-06-17 14:30:26,709 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 36] [Learning rate: 2.9403E-03] rmse: 0.7726280138
2019-06-17 14:30:27,012 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 37] [Learning rate: 2.9403E-03] rmse: 0.7740859964
2019-06-17 14:30:27,315 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 38] [Learning rate: 2.9403E-03] rmse: 0.7836397623
2019-06-17 14:30:27,621 INFO - trainers.nn_trainer - [train] [Epoch: 1] [Batch: 39] [Learning rate: 2.9403E-03] rmse: 0.6580064972
